CATEGORIES,Product Name,Packing Size,Org Price,Sale Price,10% TOTAL BILL,CANH CUT SALE,Thi,Thanh,PER UNIT FINAL,,
SƠN GEL POLISH,BS Gel Polish 15ml,d,£216.00,£183.60,£165.24,GIẢM 15%,FALSE,FALSE,£4.59,,
SƠN GEL POLISH,BS Gel Polish 15ml,Set 362,"£2,172.00","£1,737.60","£1,563.84",GIẢM 20% TỪ GIÁ ORIGINAL,TRUE,FALSE,£4.32,,
,BS Revive Gel 15ml,,,,,,FALSE,FALSE,,,
,BS Revive Gel Set36,Xem file SALE,,,,,FALSE,FALSE,,,
SƠN GEL POLISH,MB Gel Polish / Gel Top / Gel Base 15ml,Lẻ,£5.50,£5.50,£4.95,SL < 12 CHAI,TRUE,FALSE,,,
SƠN GEL POLISH,MB Gel Polish / Gel Top / Gel Base 15ml,Lẻ,£5.50,£4.95,£4.46,SL >= 12 GIẢM THÊM 10% MIX & MATCH,TRUE,FALSE,,,
SƠN GEL POLISH,MB Gel Polish / Gel Top / Gel Base 15ml,Box 6 chai cùng 1 màu,£29.70,£29.70,,,FALSE,FALSE,,,
SƠN GEL POLISH,MB Gel Polish 15ml,Set 36,£198.00,£168.30,£151.47,GIẢM 15% TỪ GIÁ ORIGINAL,TRUE,FALSE,,,
SƠN GEL POLISH,MB Gel Polish 15ml,Set 180,£990.00,£792.00,£712.80,GIẢM 20% TỪ GIÁ ORIGINAL,TRUE,FALSE,£3.96,,
TOP & BASE,BB Gel Base 240ml,240ml,£45.00,£40.50,£36.45,GIẢM 10% - TẶNG 2 VỎ,TRUE,FALSE,,,
TOP & BASE,BB Gel Top 480ml,Lẻ,£70.00,£70.00,£63.00,LẺ 1 CHAI KO GIẢM,FALSE,FALSE,,,
TOP & BASE,BB Gel Top 480ml,Lẻ,£70.00,£42.00,£37.80,MUA 2 TẶNG 1 VÀ GIẢM 10% - TẶNG 8 VỎ ( CHAI TẶNG K TẶNG VỎ ),TRUE,FALSE,£42.00,,
TOP & BASE,BS Gel Base 240ml,Lẻ,£60.00,£60.00,£54.00,LẺ 1 CHAI KO GIẢM,FALSE,FALSE,,,
