CATEGORIES,Product Name,Packing Size,Org Price,Sale Price,10% TOTAL BILL,CANH CUT SALE,Thi,Thanh,PER UNIT FINAL,,
DRILL BIT,Bào Carbide Round Top X4 (XC) / X5 (2XC) / X6 (4XC),Silver - Sắc hơn Purple,£10.00,£7.00,,MUA >=5 OFF 30%,TRUE,FALSE,,,
DRILL BIT,Bào Carbide Round Top X4 (XC) / X5 (2XC) / X6 (4XC),Purple - Bền hơn Silver,£10.00,£8.00,,MUA <5 OFF 20%,TRUE,FALSE,,,
DRILL BIT,Bào Carbide Round Top X4 (XC) / X5 (2XC) / X6 (4XC),Purple - Bền hơn Silver,£10.00,£7.00,,MUA >=5 OFF 30%,TRUE,FALSE,,,
DRILL BIT,5in1/Tornado/Flam Bit/Safety/XF/Mini Corn/ Cuticle/,,£12.00,£9.60,,MUA <5 OFF 20%,TRUE,FALSE,,,
DRILL BIT,5in1/Tornado/Flam Bit/Safety/XF/Mini Corn/ Cuticle/,,£12.00,£8.40,,MUA >=5 OFF 30%,TRUE,FALSE,,,
DRILL BIT,Bào Cuticle Diamond 2.5 / 4.5 / 5.5 - Bào Sần Biab,,£12.00,£9.60,,MUA <5 OFF 20%,TRUE,FALSE,,,
DRILL BIT,Bào Cuticle Diamond 2.5 / 4.5 / 5.5 - Bào Sần Biab,,£12.00,£8.40,,MUA >=5 OFF 30%,TRUE,FALSE,,,
DRILL BIT,Bào Đĩa Disc M ( Bào cắt tràn sơn ),,£5.00,£4.00,,MUA <5 OFF 20%,TRUE,FALSE,,,
DRILL BIT,Bào Đĩa Disc M ( Bào cắt tràn sơn ),,£5.00,£3.50,,MUA >=5 OFF 30%,TRUE,FALSE,,,
DRILL BIT,Bào Pedicure C ( Bào cạo da chết gót chân),,£15.00,£12.00,,MUA <5 OFF 20%,TRUE,FALSE,,,
DRILL BIT,Bào Pedicure C ( Bào cạo da chết gót chân),,£15.00,£10.50,,MUA >=5 OFF 30%,TRUE,FALSE,,,
DRILL BIT,Bào Siêu phá S-X3 / S-X4 / S-X5,,£10.00,£8.00,,MUA <5 OFF 20%,TRUE,FALSE,,,
DRILL BIT,Bào Siêu phá S-X3 / S-X4 / S-X5,,£10.00,£7.00,,MUA >=5 OFF 30%,TRUE,FALSE,,,
BIAB,Flexibuild X / Strongbuild / Strongbuild HF 15ml,15ml,£8.00,£8.00,£7.20,SL <6,TRUE,FALSE,,,
BIAB,Flexibuild X / Strongbuild / Strongbuild HF 15ml,15ml,£8.00,£7.20,£6.48,SL >=6 OFF 10%,TRUE,FALSE,,,
BIAB,Flexibuild X / Strongbuild / Strongbuild HF 15ml,box of 6,£43.20,£43.20,£38.88,,TRUE,FALSE,,,
BIAB,Flexibuild X / Strongbuild / Strongbuild HF 15ml,Set 36 colors,£288.00,£230.40,£207.36,OFF 20% TỪ GIÁ ORIGINAL,TRUE,FALSE,,,
BIAB,Flexibuild X  / Strongbuild / Strongbuild HF 240ml,240ml,£90.00,£54.00,£48.60,LẺ OFF 10% - MUA 2 TẶNG 1 - TẶNG 2 VỎ ( CHAI TẶNG K TẶNG VỎ ) MIX & MATCH VỚI REVIVE BASE 240 - CHEAPEST FREE,TRUE,FALSE,,,
NAIL FILE,BS File Straight - Tròn,80/80 - 100/100 - 180/240,£16.00,£13.60,£12.24,MUA >=5 OFF 15%,TRUE,FALSE,,,
NAIL FILE,BS File Square - Vuông,80/80 - 100/100,£20.00,£17.00,£15.30,MUA >=5 OFF 15%,TRUE,FALSE,,,
NAIL FILE,JK File Straight,80/80,£16.00,£16.00,,,TRUE,FALSE,,,
NAIL FILE,JK File Square,80/80,£21.00,£21.00,,,TRUE,FALSE,,,
ELECTRICAL,BS LED Lamp,Cord,£180.00,£162.00,,MUA < 4 OFF 10%,TRUE,FALSE,,,
ELECTRICAL,BS LED Lamp,Cord,£180.00,£144.00,,MUA >=4 OFF 20%,TRUE,FALSE,,,
ELECTRICAL,BS LED Lamp,Cordless,£200.00,£180.00,,MUA < 4 OFF 10%,TRUE,FALSE,,,
ELECTRICAL,BS LED Lamp,Cordless,£200.00,£160.00,,MUA >=4 OFF 20%,TRUE,FALSE,,,
ELECTRICAL,BB LED LAMP,Cord,£100.00,£90.00,,MUA < 4 OFF 10%,TRUE,FALSE,,,
ELECTRICAL,BB LED LAMP,Cord,£100.00,£80.00,,MUA >=4 OFF 20%,TRUE,FALSE,,,
ELECTRICAL,BB LED LAMP,Cordless,£130.00,£117.00,,MUA < 4 OFF 10%,TRUE,FALSE,,,
ELECTRICAL,BB LED LAMP,Cordless,£130.00,£104.00,,MUA >=4 OFF 20%,TRUE,FALSE,,,
ELECTRICAL,MB LED LAMP,Cord,£110.00,£99.00,,MUA < 4 OFF 10%,TRUE,FALSE,,,
ELECTRICAL,MB LED LAMP,Cord,£110.00,£88.00,,MUA >=4 OFF 20%,TRUE,FALSE,,,
ELECTRICAL,MB LED LAMP,Cordless,£140.00,£126.00,,MUA < 4 OFF 10%,TRUE,FALSE,,,
ELECTRICAL,MB LED LAMP,Cordless,£140.00,£112.00,,MUA >=4 OFF 20%,TRUE,FALSE,,,
ELECTRICAL,Masterled,Cord,£150.00,£150.00,,,TRUE,FALSE,,,
ELECTRICAL,Masterled,Cordless,£170.00,£170.00,,,TRUE,FALSE,,,
ELECTRICAL,X7 Plus UV Lamp,Cord,£90.00,,,,TRUE,FALSE,,,
ELECTRICAL,Drill Hand Piece X5 Plus ( Dây mặc định cho Super UP200),Check khách dùng cho máy UP200 để phải thay dây (Khách UK đa số dùng máy UP200),£200.00,£180.00,,OFF 10% MUA < 3,TRUE,FALSE,,,
ELECTRICAL,Drill Hand Piece X5 Plus ( Dây mặc định cho Super UP200),Check khách dùng cho máy UP200 để phải thay dây (Khách UK đa số dùng máy UP200),£200.00,£160.00,,OFF 20% MUA >=3,TRUE,FALSE,,,
ELECTRICAL,Drill Hand Piece X7 Plus ( Dây mặc định cho Super UP200),Check khách dùng cho máy UP200 để phải thay dây (Khách UK đa số dùng máy UP200),£220.00,£198.00,,OFF 10% MUA < 3,TRUE,FALSE,,,
ELECTRICAL,Drill Hand Piece X7 Plus ( Dây mặc định cho Super UP200),Check khách dùng cho máy UP200 để phải thay dây (Khách UK đa số dùng máy UP200),£220.00,£176.00,,OFF 20% MUA >=3,TRUE,FALSE,,,
ELECTRICAL,BS FX200 Portable Drill,,£260.00,£234.00,£210.60,"OFF 10%, MUA >=3 GIẢM 20%",TRUE,FALSE,,,
ELECTRICAL,MB M3 Portable Drill Machine,,£200.00,£180.00,£162.00,"OFF 10%, MUA >=3 GIẢM 20%",TRUE,FALSE,,,
FURNITURE,Ghế Thợ NORA,,£75.00,£60.00,,OFF 20% ( K BAO GỒM PHÍ GỬI ),TRUE,FALSE,,
FURNITURE,Ghế Thợ Kira,,£100.00,£80.00,,OFF 20% ( K BAO GỒM PHÍ GỬI ),TRUE,FALSE,,
FURNITURE,Ghế Thợ MAIA,,£130.00,£104.00,,OFF 20% ( K BAO GỒM PHÍ GỬI ),TRUE,FALSE,,
FURNITURE,Ghế Khách Kaylee,,£140.00,£112.00,,OFF 20% ( K BAO GỒM PHÍ GỬI ),TRUE,FALSE,,
FURNITURE,Ghế Khách Velda,,£150.00,£120.00,,OFF 20% ( K BAO GỒM PHÍ GỬI ),TRUE,FALSE,,
FURNITURE,Ghế Khách Etan,,£160.00,£128.00,,OFF 20% ( K BAO GỒM PHÍ GỬI ),TRUE,FALSE,,
FURNITURE,Ghế Khách Bendi,,£160.00,£128.00,,OFF 20% ( K BAO GỒM PHÍ GỬI ),TRUE,FALSE,,
PEDICURE CHAIR,Ghế Non Auto Fill - Chậu Cao Su,,"£2,750.00","£2,000.00","£1,800.00",,TRUE,FALSE,,
PEDICURE CHAIR,Ghế Non Auto Fill - Chậu Thủy Tinh,,"£2,750.00","£2,000.00","£1,800.00",,TRUE,FALSE,,
PEDICURE CHAIR,Ghế Auto Fill,,"£3,000.00","£2,200.00","£1,980.00",,TRUE,FALSE,,
PEDICURE CHAIR,Ghế New Space VL958,,"£3,000.00","£2,400.00","£2,160.00",,TRUE,FALSE,,
PEDICURE CHAIR,Ghế New Space VL958 Non Auto,,"£2,750.00","£2,400.00","£2,160.00",,TRUE,FALSE,,
PEDICURE CHAIR,Ghế Luxury VL9615,,"£3,300.00","£2,650.00","£2,385.00",,TRUE,FALSE,,
NAIL TABLE,NAIL TABLE,BlazingStar Single - MÁY HÚT THƯỜNG,£700.00,£630.00,£567.00,OFF 10%,TRUE,FALSE,,
NAIL TABLE,NAIL TABLE,BlazingStar Single - MÁY HÚT PRO,"£1,200.00","£1,200.00","£1,080.00",,TRUE,FALSE,,
NAIL TABLE,NAIL TABLE,BlazingStar Double - MÁY HÚT THƯỜNG,"£1,200.00","£1,080.00",£972.00,OFF 10%,TRUE,FALSE,,
NAIL TABLE,NAIL TABLE,BlazingStar Double - MÁY HÚT PRO,"£2,200.00","£2,200.00","£1,980.00",,TRUE,FALSE,,
NAIL TABLE,NAIL TABLE,BlazingStar Triple - MÁY HÚT THƯỜNG,"£1,800.00","£1,620.00","£1,458.00",OFF 10%,TRUE,FALSE,,
NAIL TABLE,NAIL TABLE,BlazingStar Triple - MÁY HÚT PRO,"£3,300.00","£3,300.00","£2,970.00",,TRUE,FALSE,,
NAIL TABLE,Tornado Dust Extractor ( Máy Hút Bàn Nail ),,£700.00,£700.00,,,FALSE,FALSE,,
